"INTRODUCAO.A.PROGRAMACAO.EM.R","METODOS.NAO.PARAMETRICOS","INGLES.INSTRUMENTAL.I","INFERENCIA.ESTATISTICA","CONTROLE.ESTATISTICO.DA.QUALIDADE","ESTATISTICA.COMPUTACIONAL.I","ESTATISTICA.MULTIVARIADA.I","PROBABILIDADE.C","SERIES.TEMPORAIS","MODELOS.DE.REGRESSAO.I","ESTATISTICA.MULTIVARIADA.II","TEORIA.DAS.MATRIZES","INTRODUCAO.A.INFERENCIA.BAYESIANA","TRABALHO.DE.CONCLUSAO.DE.CURSO.I","MODELOS.LINEARES.GENERALIZADOS","TRABALHO.DE.CONCLUSAO.DE.CURSO.II","PLANEJAMENTO.DE.EXPERIMENTOS","INTRODUCAO.A.PROGRAMACAO.DE.COMPUTADORES","ALGEBRA.LINEAR.I","GERACAO.E.USO.DE.BANCO.DE.DADOS","INTRODUCAO.A.INFERENCIA.ESTATISTICA","TECNICAS.DE.AMOSTRAGEM","PROBABILIDADE.B","PROBABILIDADE.A","CALCULO.DIFERENCIAL.E.INTEGRAL.I","ANALISE.EXPLORATORIA.DE.DADOS","CALCULO.DIFERENCIAL.E.INTEGRAL.II","ANALISE.DE.SOBREVIVENCIA.E.CONFIABILIDADE","ESTATISTICA.E.SOCIEDADE"
9.155,9.1,8.5,5.545,6.615,4.84333333333333,5.43,6.33,8.92,7.12,10,8.25,8.67,10,5.67,6.95,5.29,10,1.5,6.98,6.81,9.33,8.97,8,6.17,8.56,NA,NA,NA
10,8.985,9.9,9.85,8.94,9.5,9.21,8.61,4.665,8.005,8.875,7.185,8.415,9,5.09,9,NA,9.55,7.21,9.55,8.75,9.78,9.67,9.75,10,10,6.43333333333333,7.47,9.75
9.6,8.28,10,5.87,8.33,8.35,5.37,4.485,9.1,9.32,10,9.3,NA,10,10,9.83,9.39,9.25,6.33,8.2,7.09,10,8.45,7.96,5.93,9.75,9.17,9.3,10
10,6.51,9.55,6.75,7.67,9,5,7.33,7.47,8.53,5,8,8,8,9.46,10,7.37,6.27,5.25,9,6,9.11,5.11,8.3,5.165,7.5,NA,8.38,9
9.65,6.92,10,5,8.4,7.8,6.29,3.83,6.5,8.6,9.17,8.25,8,9.5,5.2,8.75,7.04,8.25,8.2,9.4,4.45,8.3,8.25,6.67,8,9.73,7.715,9.25,8.88
9,NA,7.13,7.17,4.78,4.915,8.5,7,7.34,8.11,8.5,8,3.89,8,6.09,8,NA,5.97,2.65666666666667,5.985,6.545,9.17,7,5.87,5.64,5.42,5.48,NA,NA
6.84,5.02,NA,7.09,6.875,5.73,8,5.67,8,6.34,9,7.69,5.4,8,8.05,8.33,9.18,6.7,6.065,8.5,6.635,8.25,6.695,9.08,8.875,8.275,4.9,6.78,NA
10,5.27,8.85,5.93666666666667,7.42,8.23,4.75,3.43333333333333,9,7.57,5,5.75,9,10,9.75,8.83,8.95,4.55,5,8.36,6.89,NA,6.97,5.45,5.245,4.5,8.67,9.25,6
8.075,5.33,9.3,6.47,8,5.88,5.67,3.29,8,8.54,9,6.75,9.17,8.5,8.33,9.5,8.8,6.29,8,8.65,7.41,8.5,7.13,7.16,6.35,8.855,5.555,8.75,8.75
9.56,7.2,7.13,7.65,5.33,8.835,6.785,6.83,6.545,8.065,9,NA,7.465,8.665,7.16,8.5,8.6,7.65,9.33,8.32,6.99,8.335,7.83,5,5.01,5.13,5.23,8.8,7.75
9.5,NA,8.03,7.47,6.12,5.93,8.25,8.25,10,8.67,8.075,8.04,6.56,10,8.87,7.27666666666667,NA,8.75,8.38,8.335,7.5,9.1,8.275,7.025,6.29,6.85,5.33,7.52,NA
8.58,5.03,8.99,7.535,6.235,5.205,8.1,5.015,8,7.31,10,8.93,9.75,8,8.57,8.67,8.58,9.36,6.335,8.5,7.12,8.67,NA,NA,NA,8.25,9.5,8.18,9
9.145,NA,9.57,NA,NA,NA,7.7,5,5,7.54,7.7,8.485,7.27,9,8,9,5,8.99,6.75,7.75,7.24,8.17,5.695,5.985,4.78666666666667,6.72,5.02,8.53,NA
5,7.52,5.27,7.16,5.94,5.135,6.77,NA,9.33,8,10,NA,6.96,9.5,9.81,10,9.8,4.785,1.665,5,5,9.165,5.62,7,5,7.67,7.6,8.33,7.75
NA,9.5,8.18,7.42,6.645,NA,6.67,5.62,5.11,5.15,10,9.75,5.03,10,5.05,0.714285714285714,3.525,10,7.17,8,5.27,9.17,7.01,9.6,NA,NA,9.15,NA,NA
9.21,9.25,NA,9.23,7.42,9.05,8.5,8.255,10,7.22,8.5,7.235,7.6,10,9.67,9,NA,10,8,8.4,8.91,9.17,9,8,7.32,8.82,8.165,NA,NA
8.93,8.445,9.715,6.19,9.64,9.5,9.1,5.4,8.175,9.505,9,8,8.365,10,9.665,9.5,8.69,7.575,8.85,9.375,6.45,8.83,8.015,8.5,7.25,9.12,9.1,9.015,9.5
9.48,5.655,9.6,5.8,7.78,9,7.67,7.33,6.97,7.92,5.44,8,8.17,8.5,8.5,7.2,5.54,2.27,5.5,8.2,5.36,8,7.2,5.52,3.87,8.17,5,5.28,9
7.51,6.25,8.665,5.02,7.75,8.9,5.6,2.5,8,8.39,10,5.75,9.75,10,8.05,10,9.18,6.895,4.045,7.82,7.27,9.17,NA,NA,6.5,7.615,9.8,5.05,8
8.11,7.8,NA,5.04,5.53,9,8,5,6.03,9.05,8.92,7.615,8.67,10,10,9,5.8,2.45,5,9.5,5.22,8.44,5.895,7.96,6.5,7,4.695,8.18,NA
7.83,5.51,8,3.35,NA,3.815,5.46,5,5.79,7.57,8.5,NA,8.76,10,9.58,9,9.32,9.98,NA,NA,6.11,6.78,NA,NA,NA,NA,5.9,6.7,10
